id,genre,track_name,artist_name,valence,acousticness,danceability,instrumentalness,key,liveness,loudness,speechiness,tempo,energy
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.929,0.579,0.0018,7,0.671,-11.599,0.0397,102.713,0.415
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,0.312,0.835,0.498,0.536,9,0.133,-12.238,0.0257,153.744,0.242
4vdnC0qoyb89SmCow0OT4m,acoustic,Bad Romance,Lissie,0.275,0.000565,0.409,0.00075,9,0.69,-5.109,0.029,116.207,0.631
2ZheGCM31EbCwUfGs0WJB1,acoustic,Barton Hollow,The Civil Wars,0.435,0.123,0.403,0.0,2,0.0857,-7.338,0.0303,90.854,0.659
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0.698,0.585,0.666,0.0,0,0.079,-10.721,0.04,116.082,0.259
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.945,0.621,6.12e-05,9,0.117,-10.164,0.0283,111.893,0.31
6Vc5wAMmXdKIAM7WUoEb7N,acoustic,Say Something,A Great Big World,0.0765,0.857,0.407,2.89e-06,2,0.0913,-8.822,0.0355,141.284,0.147
10XX3YDY7X0jQfwjpveRvh,acoustic,Make You Feel My Love,ortoPilot,0.292,0.869,0.657,0.00746,2,0.11,-10.391,0.0423,75.91,0.212
7E8CTZZ7TvoRNEayjo8vS7,acoustic,Jag vet vilken dy hon varit i,Håkan Hellström,0.27,0.234,0.27,0.0,6,0.2,-6.737,0.0385,141.362,0.618
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.722,0.548,2.15e-05,7,0.0788,-10.308,0.0266,87.01,0.217
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.813,0.595,0.0,1,0.0913,-9.385,0.0329,140.986,0.127
3gSvJ7SBbRVyJWuw7gWWc8,acoustic,Two Is Better Than One,Tyler Ward,0.249,0.797,0.54,0.0,0,0.11,-6.934,0.0303,127.732,0.369
6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,0.366,0.649,0.585,0.00554,10,0.0903,-14.692,0.0271,93.009,0.266
1s2I9Q7zAE78m7aVZOq3ug,acoustic,Bang Bang - My Baby Shot Me Down,Various Artists,0.372,0.984,0.458,0.0993,5,0.111,-22.644,0.0512,125.035,0.12
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,0.25,0.818,0.498,0.000937,4,0.13,-10.752,0.0976,79.856,0.384
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.85,0.655,0.122,3,0.136,-15.543,0.0429,82.569,0.255
7bcHBD27hxkK5aSXjWOysM,acoustic,When I Held Ya,Moa Lignell,0.418,0.0289,0.425,0.0,11,0.145,-6.108,0.0372,153.939,0.645
1ZmbLKxfrWh2ejFjiZxZPW,acoustic,Better Off - Live From Spotify London,HAIM,0.419,0.161,0.51,1.47e-05,9,0.542,-5.825,0.0787,119.296,0.702
3kw7Zlhj7Qc2NGq5NDFRTg,acoustic,They Ain't The Same,Keegan DeWitt,0.35,0.227,0.453,0.0,4,0.199,-8.333,0.0293,88.996,0.248
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.192,0.929,0.547,1.2e-06,1,0.714,-10.676,0.036,135.657,0.188
6EGlya6vCQzo3PdutOJEJP,acoustic,Your Song,Calle Kristiansson,0.208,0.637,0.64,0.00012,9,0.108,-8.579,0.0292,127.874,0.355
6FVuzVYUdbPBJr6kuxgNGs,acoustic,Mirrors (feat. Fifth Harmony),Boyce Avenue,0.702,0.492,0.563,0.0,1,0.105,-7.177,0.0419,77.041,0.658
6OaCwySGYg30ncfsjKNbtM,acoustic,Dumb,Nirvana,0.681,0.58,0.691,0.000545,6,0.868,-9.116,0.0363,109.432,0.539
6gr1b9QdhEkAfGbq07dBSf,acoustic,Scene Three - Stomach Tied In Knots,Sleeping With Sirens,0.613,0.433,0.639,0.0,9,0.11,-8.328,0.0494,110.061,0.435
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,Alex Goot,0.425,0.695,0.64,0.0,5,0.0741,-7.258,0.0263,89.963,0.394
0ygAYQQy7bfDN6gH640bbl,acoustic,Wake Me Up,Ed Sheeran,0.336,0.902,0.616,0.0,9,0.139,-13.43,0.406,86.891,0.209
23QU0JCDAZ8SzjzcIy4tLI,acoustic,You Give Me Something - Live on Later With Jools Holland,James Morrison,0.415,0.778,0.51,0.0,0,0.988,-11.227,0.108,80.459,0.447
1DWbTRHEL2x9sZmdagh2Su,acoustic,Hometown Glory (Live at Hotel Cafe),Adele,0.181,0.922,0.436,0.00525,1,0.191,-9.365,0.0312,119.133,0.353
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.844,0.476,0.111,7,0.125,-11.216,0.0305,90.055,0.408
7DXlTMw0vkYFRWfQMXoNam,acoustic,Yellow,Boyce Avenue,0.277,0.64,0.64,0.0,11,0.104,-11.307,0.0268,87.986,0.285
3ZffCQKLFLUvYM59XKLbVm,acoustic,Wake Me up When September Ends,Green Day,0.146,0.023,0.546,0.0,7,0.0972,-5.146,0.0314,104.98,0.814
6wN5nWLgjEGmPwozDh2jwM,acoustic,Kiss Me,Jason Walker,0.33,0.965,0.429,0.0,11,0.105,-9.06,0.0296,77.567,0.184
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.8,0.825,0.0,0,0.276,-10.827,0.0518,114.07,0.391
4jFSBOiJwJ9OmtB7SxHeWv,acoustic,Climax (feat. Ebony Day),ortoPilot,0.457,0.703,0.584,0.0,2,0.157,-4.732,0.0426,145.006,0.351
0L1Kl3XWvfKT2HplPj4zBC,acoustic,Locked Out Of Heaven,Tyler Ward,0.191,0.907,0.413,0.0,5,0.101,-9.058,0.0401,139.552,0.2
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.44,0.112,0.584,0.0,10,0.456,-8.158,0.0279,126.996,0.536
3B7udSGy2PfgoCniMSb523,acoustic,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Howard Shore,0.234,0.559,0.581,0.0,10,0.0718,-20.514,0.0397,152.037,0.0549
3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,0.443,0.627,0.773,1.36e-05,0,0.0953,-9.252,0.0516,74.977,0.394
78xbGcjmm02TCbhsMJsuUn,acoustic,In the Morning,Keaton Henson,0.227,0.892,0.455,0.192,2,0.217,-14.594,0.0484,73.014,0.17
3LcYYV9ozePfgYYmXv0P3r,acoustic,Fire and Rain,James Taylor,0.36,0.499,0.611,7.84e-06,5,0.0844,-14.48,0.0356,76.064,0.35
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.293,0.93,0.607,0.0,1,0.172,-11.131,0.0378,155.948,0.262
6dmeWjx2U5G3o5IlBzllVt,acoustic,Further Away - Spotify - Rockfeedback Session,Ben Howard,0.253,0.732,0.503,0.0819,0,0.111,-15.054,0.0353,152.645,0.348
24rFwAcC6eqPvyMuPynVGH,acoustic,Home / Dirty Paws,Gardiner Sisters,0.232,0.85,0.663,0.0,2,0.114,-10.89,0.0313,115.028,0.208
4T2SmVJPtDdugk5j5xV1d5,acoustic,You And Me,Lifehouse,0.363,0.115,0.458,0.0,7,0.161,-7.835,0.0268,139.9,0.428
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.827,0.514,0.00223,9,0.0926,-11.768,0.0291,90.459,0.292
2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.559,0.527,3.95e-05,1,0.152,-11.214,0.0282,107.867,0.361
6MDTpYxPFL0wtFd0pjfKws,acoustic,Rhythm Of Love,Plain White T's,0.726,0.356,0.531,0.0,8,0.119,-7.721,0.0432,171.878,0.542
2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.172,0.661,0.441,0.0,7,0.106,-11.227,0.0276,77.988,0.258
2f3pT7xCMaNUL3jWNZDSto,acoustic,Pennyroyal Tea,Nirvana,0.0393,0.322,0.505,1.02e-06,1,0.11,-8.036,0.0327,113.185,0.457
7z0JcZ8PQoAfUaLIXvbyTH,acoustic,More Than Words,Extreme,0.255,0.464,0.621,0.0,6,0.12,-14.201,0.0298,91.354,0.144
5rr7qvhwIAaBvl9v7GD0Dh,afrobeat,Tenere Dafeo Nikchan,Tinariwen,0.348,0.985,0.479,0.00371,7,0.133,-12.955,0.0463,90.815,0.27
4aVuWgvD0X63hcOCnZtNFA,afrobeat,Hold the Line,TOTO,0.808,0.00783,0.473,0.0618,6,0.173,-4.797,0.0561,96.556,0.898
5jnfrHIeTAWw5SaRiiyhAW,afrobeat,Jho Avido,Various Artists,0.723,0.834,0.654,2.21e-05,9,0.107,-11.453,0.0354,91.473,0.319
6PLBnyRgcc22RTNgKqzhx1,afrobeat,Mulemba Xangola,Bonga,0.915,0.696,0.716,0.00156,6,0.142,-7.188,0.181,122.851,0.828
64NibWSxMCKaxurg4OW5Dd,afrobeat,Jombolo,Iyanya,0.663,0.035,0.725,0.0,0,0.151,-6.456,0.0648,128.086,0.871
2CR70HTSKkONUNd71CgmCG,afrobeat,M'bifé,Amadou & Mariam,0.431,0.81,0.727,0.00333,7,0.213,-7.136,0.0252,108.971,0.578
55fC1vUs7mVzOH7RipVlXR,afrobeat,Palea,Dobet Gnahoré,0.603,0.756,0.685,0.0,10,0.118,-8.014,0.0491,95.997,0.453
5k3U0OGYBccHdKJJu3HrUN,afrobeat,"Hakuna Matata - From ""The Lion King""/Soundtrack",Various Artists,0.725,0.617,0.408,1.18e-05,0,0.115,-18.09,0.137,170.013,0.313
63h9LeZ3BaERQ2Sv8QCdx4,afrobeat,Banga,Ali Farka Touré,0.631,0.636,0.511,0.843,11,0.0905,-22.718,0.0617,77.991,0.306
5J91ybNMSHJCbb99lYUGv7,afrobeat,Miyaabele,Baaba Maal,0.511,0.878,0.436,0.000398,7,0.128,-9.008,0.0388,168.978,0.548
2omKTr5vQEGXJva7vOsFOr,afrobeat,Bisso Baba (Always Together),Richard Bona,0.446,0.663,0.69,0.528,7,0.146,-11.299,0.0599,98.817,0.535
0h11owW0SnQgySECDNtAI5,afrobeat,Sabura,Ekova,0.873,0.697,0.664,0.0621,7,0.143,-14.089,0.0369,96.874,0.547
